date,open,high,low,close,volume,wap,barCount
20260722,746.62,750.02,746.37,747.41,20915111,748.293,200724
20260723,739.35,742.56,735.21,738.18,35066207,738.21,335607
20260724,738.54,743.72,737.29,738.93,30096626,739.573,281021
20260727,744.87,745.53,735.87,739.09,28603099,739.304,283437
20260728,739.24,742.8,735.98,740.86,27604876,739.953,275046
20260729,739.97,742.68,729.1,729.46,44953339,734.992,427586
20260730,736.05,742.45,734.59,741.69,40708998,738.897,408208
20260731,744.68,748.9,737.68,747.03,38326261,744.224,371080
20260803,749.44,758.58,748.8,757.67,39750764,755.862,371947
20260804,760.62,773.41,760.52,771.33,45384060,769.009,411489
20260805,775.84,776.85,769.51,769.79,30721194,772.707,299314
20260806,770.21,771.82,767.46,768.56,25455065,769.14,265203
20260807,771.02,773.92,769.61,773.26,25396334,772.291,254371
20260810,772.64,775.05,771.89,773.03,25247366,773.28,232607
20260811,774.53,774.61,769.2,770.56,21185926,771.721,201681
20260812,774.71,774.9,771.28,772.49,20544697,772.725,198391
20260813,774.87,779.37,774.11,777.88,24004217,777.259,215053
20260814,778.54,778.8,775.43,776.34,19918826,776.618,191860
20260817,776.18,776.78,772.51,772.67,23623921,774.152,214211
20260818,768.7,769.5,766.92,767.45,26101669,768.119,251282
20260819,770.36,772.47,768.1,769.06,24734697,769.872,232265
20260820,765.95,768.15,765.23,765.85,12298159,766.545,122775
